Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
H-FRİGO PAK,0.3311,0.3103,1.3311,6.8186,0.2226,3.5572,2.1658,0.0933,0.2725,0.3717,0.2705,0.0759,0.0570,4.6995,0.0000,0.0000,0.5265,0.7943,24.5335,0.2941,0.3915,0.7435,1
H-2023-A.V.OD,0.6261,0.5849,1.6261,7.4005,0.5650,1.8036,1.2798,0.0730,0.1578,0.2130,0.0419,0.0302,0.0186,0.3047,0.0037,0.0000,0.2139,1.9565,3.2384,0.4525,0.7358,3.4407,1
H-2023-ADESE,0.1929,0.1164,1.1929,43.0072,0.0375,4.2837,3.0270,2.0395,0.6646,0.6701,1.0728,0.0230,0.0193,55.4983,0.2538,0.5364,0.0122,0.1553,3.6884,0.0186,0.0222,1.8146,1
H-2023-AHLATCI,0.5178,0.2125,1.5178,1.7982,0.3451,1.1844,1.1658,0.8847,0.1337,0.0871,0.0602,0.0335,0.0221,0.8099,0.0091,0.0109,1.0992,94.3256,7.4415,0.4359,0.6617,0.6019,1
H-2023-AKÇA KİMYEVİ,1.6361,1.4357,2.6361,2.5883,1.5446,1.6280,1.1174,0.1297,0.0904,0.1286,0.0865,0.2003,0.0760,1.7369,0.2058,0.0335,0.0013,2.7602,1.8190,0.9478,2.4985,1.9980,1
H-2023-AKFEN,2.3665,2.2232,3.3665,1.2107,0.4692,0.5542,0.5513,0.3054,0.5183,0.5275,0.2047,0.0826,0.0245,0.4782,0.0001,0.0064,2.9291,3.8500,4.2653,0.0848,0.2856,0.0975,1
H-2023-AKIN TEKSTİL,0.8980,0.8598,1.8980,0.0443,0.7100,0.8470,0.5455,0.0539,-0.0015,0.1255,-0.1421,-0.0597,-0.0315,0.9088,0.0000,0.0000,0.6894,2.2245,1.7838,0.2870,0.5446,0.7900,1
H-2023-AKSA ENERJİ,0.7013,0.6627,0.5625,4.6683,0.3986,1.4112,1.3299,0.0969,0.1906,0.2192,0.2449,0.1045,0.0614,3.6801,0.1625,0.1209,1.0886,13.3973,1.2337,0.3275,0.5572,0.5118,1
H-2023-ALORKO HOLDİNG,0.5081,0.4326,1.5081,614.8404,0.4297,1.1975,1.1143,0.1758,1.6862,0.1139,1.5793,0.2432,0.1613,14.6523,0.0090,0.0073,0.0760,3.7843,1.5821,0.1012,0.1526,2.0067,1
H-2023- ALKİM ALKALİ KİMYA,0.6176,0.2381,1.6176,93.2074,0.5642,2.2217,1.3415,0.6726,0.2152,0.2164,0.2064,0.1739,0.1075,10.5802,0.0005,0.0000,0.2710,1.6659,3.6065,0.6526,1.0557,3.8955,1
