ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 ACISELSAN,0.4012,0.1526,0.3449,2.6713,1.8545,0.7208,0.2899,0,0,0.1621,0.0482,0.0056,1.7887,0.2578,0.0022,1.0214,0.2609,0.2069,0.2096,0.2899,0.7979,1
2022 ADEL KALEM,0.6567,0.0564,6.2133,0.1007,-0.2848,0.0966,0.0748,0.0533,0.0311,0.8778,-0.0184,-0.0021,0.0852,0.0115,0.0348,0.4124,0.0036,0.0099,-20.4824,0.0748,0.2476,1
2022 ADESE GAYRİMENKUL,0.1592,-0.0066,0.042,5.0515,5.0515,3.9457,0.023,0.1861,0.6456,0.0015,9.8651,0.0126,15.5144,0.3821,0.0722,2.7206,0.0073,0.0199,0.1168,0.023,0.0136,1
2022 ALARKO CARRIER,1.3741,1.0987,1.1742,1.8212,1.3285,0.2345,0.2718,0.0502,0.276,0.0654,-0.5849,-0.0161,4.1556,0.2039,-0.0074,0.8798,0.134,0.1145,3.4615,0.2718,1.5754,1
2022 ALARKO GAYRİMENKUL,0.0325,0.0315,0.0081,21.7908,21.6621,0.1244,0.055,0.9337,0.2581,0.0035,-0.0014,0,15.7818,4.6839,-0.1033,0.9999,0.0534,0.0532,-0.012,0.055,0.0645,1
2022 ALKİM ALKALİ,0.6508,0.1626,0.5606,2.3294,1.5265,0.8708,0.3732,0.0003,0,0.2844,0.0318,0.0055,1.3121,-0.5642,0.0993,1.0196,0.2794,0.2261,6.5404,0.3732,1.3827,1
2022 ALKİM KAĞIT,0.7583,-0.0811,0.7258,2.3142,1.7282,1.1566,0.5099,0,1,0.05,0.3296,0.0094,10.204,0.3942,-0.0757,1.0264,0.3551,0.29,2.9204,0.5099,8.2971,1
2022 ALTIN YUNUS,0.2424,0.2149,0.0789,0.681,0.6397,0.3487,0.0108,0.03,0.2119,1.156,-0.0018,-0.0017,0.0093,0.3095,0.8284,0.8423,0.0107,0.0087,-20.2606,0.0108,0.011,1
2022 ARÇELİK,3.7457,3.1334,2.9627,1.1576,0.7664,0.2067,0.0661,0.015,0.1199,0.6634,-0.1781,-0.0249,0.0996,0.0776,-0.0469,0.3848,0.0405,0.0139,-2.2116,0.0661,0.1438,1
2022 ATP TİCARİ,0.4442,-0.0346,0.3916,2.9125,2.8603,1.2225,0.145,0.3903,0.0283,0.015,3.2819,0.034,9.683,0.1825,0.082,1.488,0.0697,0.1004,-0.1502,0.145,0.3374,1
2022 AVRASYA GAYRİMENKUL,0.0439,0.0431,0.0432,2.8173,2.619,0.018,0.0084,0.9767,0.4522,0.0147,-0.0018,0,0.5686,-18.0053,4.7177,0.9969,0.0081,0.008,-1.6175,0.0084,0.0091,1
2022 AVRASYA PETROL,0.0986,0.0401,0.0141,5.7226,5.7226,4.1639,0.0422,0.6894,0.0214,0.2265,0.0198,0.0041,0.1863,1.9437,1.9233,1.1184,0.0345,0.0384,-4.713,0.0422,0.0373,1
2022 AYGAZ,1.9784,1.6061,1.4526,1.1029,0.6996,0.2563,0.3226,0.0253,0.1275,0.2216,1.497,0.1114,1.4558,-0.0024,0.0573,-32.8774,-0.0033,0.1083,7.3088,0.3226,0.2575,1
2022 BATISÖKE,9.9223,9.9143,4.6782,0.6913,0.3823,0.0017,-1.1502,0.379,0.0726,5.1504,-0.3466,-0.2001,-0.2233,0.1908,0.0407,-2.0854,0.0648,-0.1289,12.2477,-1.1502,0.0569,1
2022 BİRLİK MENSUCAT,-2.8273,-2.8248,-1.6434,0.305,0.2845,0.0015,0.4265,0,0.4716,-0.0136,-8.0662,-0.0599,-31.4055,-1.4923,0.0694,1.3456,-0.1735,-0.2334,-0.2103,0.4265,-0.239,1
2022 BİZİM TOPTAN,10.0296,8.7546,9.1762,0.9122,0.3,0.1389,0.2491,0.028,0.1045,1.3967,-0.1516,-0.0192,0.1783,0.0302,-0.0305,0.6343,0.0525,0.0226,-0.3877,0.2491,0.2608,1
2022 BMS BİRLEŞİK,0.8379,0.7552,0.6764,1.4454,0.8271,0.1223,0.3045,0,0.0005,0.7987,-0.0282,-0.0123,0.3813,0.3501,0.1801,0.9371,0.1949,0.1657,3.3755,0.3045,0.415,1
2022 BMS ÇELİK,0.4492,0.1521,0.3846,2.7013,1.6357,0.7724,0.1821,0.0026,0.0069,0.3586,0.0139,0.0034,0.508,0.1063,0.0032,1.0226,0.1521,0.1257,3.3885,0.1821,0.5372,1
2022 BOĞAZİÇİ BETON,0.7053,0.6043,0.6011,1.1382,1.0494,0.1681,0.0974,0,0.013,0.9834,0.0133,0.0077,0.099,0.0799,0.0448,1.1398,0.0547,0.0571,-84.2597,0.0974,0.1027,1
2022 BORUSAN,1.34,1.2817,1.0828,1.0237,0.4852,0.0538,0.2241,0.058,0.0295,1.1286,-0.0185,-0.0089,0.1986,0.3178,0.2339,0.918,0.109,0.0958,48.6803,0.2241,0.2158,1
2022 BOSCH FREN,1.2635,0.9262,0.9044,2.0217,1.7184,0.373,0.5205,0.1082,0.207,0.3381,0.1533,0.0229,1.5395,0.1512,0.0162,1.1127,0.2031,0.2299,0.3755,0.5205,1.0568,1
2022 CASA EMTİA,0.4317,0.4317,0.0375,22.774,22.774,0.0019,0.1703,0,0,0.0221,-5.4065,-0.0834,7.7145,0.0902,0.0008,0.6694,0.2522,0.119,14.7892,0.1703,0.4179,1
2022 ÇEMAŞ DÖKÜM,0.1225,-0.167,0.1032,5.3742,4.7175,2.8038,0.1653,0,0.0148,0.287,0.3858,0.0986,0.5761,0.2083,-0.0132,2.8849,0.0523,0.1473,-0.775,0.1653,0.1727,1
2022 ÇEMTAŞ ÇELİK,0.3643,0.2863,0.345,3.1205,1.5701,0.2261,0.3514,0,0.0055,0.2191,0.0244,0.0039,1.6035,0.372,0.01,1.0121,0.3253,0.2575,0.3853,0.3514,1.5946,1
2022 DAGİ GİYİM,1.4072,1.3485,1.1339,1.1345,0.6208,0.0518,0.0732,0.445,0,0.8337,-0.0339,-0.0117,0.0878,0.1679,0.0183,0.7306,0.0436,0.0304,1.2104,0.0732,0.1294,1
2022 DATAGATE,2.1192,2.0652,2.1053,1.4454,0.9762,0.0257,0.1075,0.0016,0.3981,0.0004,-206.1896,-0.0275,258.3944,0.0617,0.0392,0.621,0.0726,0.0345,0.6494,0.1075,2.968,1
2022 DEMİSAŞ DÖKÜM,3.3246,2.9971,2.8857,1.1434,0.8692,0.1135,0.1212,0,0.0482,0.9391,-0.129,-0.028,0.1291,0.0697,0.0089,0.5041,0.0565,0.028,-1.3575,0.1212,0.2386,1
2022 DOĞAN BURDA,2.0294,0.788,1.5332,1.7223,1.6714,0.8097,0.1595,0.0053,0.0852,0.0789,-0.0842,-0.0022,2.0222,0.095,0.0235,0.9675,0.0674,0.0526,-0.2439,0.1595,0.5272,1
2022 DOĞUSAN BORU,0.3103,0.232,0.2273,1.9927,0.5531,0.3442,0.1544,0,0,0.79,0.0127,0.0076,0.1955,0.5596,0.5413,1.0737,0.1035,0.1179,37.7113,0.1544,0.1585,1
2022 EDİP GAYRİMENKUL,4.4895,4.4406,0.2175,1.4663,1.465,0.2246,-0.6408,0.0005,0.002,0.0212,-39.3575,-0.2388,-30.2667,0.5157,0.0641,-6.4281,0.0321,-0.1836,0.022,-0.6408,0.0423,1
2022 EGE PROFİL,1.6065,1.4325,1.445,1.3324,1.0022,0.1204,0.2352,0.2315,0.0343,0.6424,0.0368,0.0091,0.3661,0.1759,0.0953,1.0888,0.1023,0.0902,0.8448,0.2352,0.417,1
2022 EGE SERAMİK,1.2272,1.0273,1.1236,1.5716,1.15,0.1779,0.4201,0.6101,0,0.3827,0.0329,0.0057,1.0977,0.2949,0.0881,1.0273,0.2073,0.1886,0.3315,0.4201,0.9927,1
2022 EMLAK KONUT,1.2061,0.8622,1.0497,1.7764,0.586,0.3276,0.1369,0,0.649,0.0703,-0.1232,-0.0039,1.946,0.5481,0.0495,0.9405,0.0659,0.062,0.1151,0.1369,0.4306,1
2022 ENEJİSA ENERJİ,3.3927,3.2122,2.6946,0.9224,0.8766,0.067,0.2171,0.0012,0.2552,0.2528,-0.5758,-0.0331,0.8589,0.1141,0.0207,0.6462,0.0937,0.0494,-0.0622,0.2171,0.2157,1
2022 ENKA İNŞAAT,0.3419,0.1454,0.252,2.2778,2.0838,0.7801,-0.018,0,0,0.1469,-0.6093,-0.0667,-0.1223,0.3329,0.1088,-0.2254,0.0544,-0.0134,-3.8302,-0.018,-0.0316,1
2022 ENSARİ GIDA,1.3909,1.0497,1.137,1.2548,0.7502,0.3001,0.0591,0.1709,0,0.2641,-0.6043,-0.0668,0.2237,0.2896,0.0473,0.2931,0.0944,0.0247,-9.8617,0.0591,0.2559,1
2022 ERSAN ALIŞVERİŞ,1.5585,0.9519,1.1947,1.3975,0.6664,0.5078,0.0528,0,0.0081,0.3741,0.0201,0.0029,0.1412,0.0234,0.047,1.144,0.0204,0.0206,1.4934,0.0528,0.0604,1
2022 ERSU MEYVE,0.3593,0.3557,0.235,1.8955,0.4926,0.0154,0.1105,1.017,0.6324,0.9137,-0.0053,-0.0036,0.121,0.4878,0.4857,0.9531,0.0762,0.0813,139.0065,0.1105,0.1134,1
2022 FORMET METAL,1.0139,0.9915,0.8408,1.4569,0.9413,0.0266,-0.039,0,0,0.6857,-0.0751,-0.0256,-0.0569,0.0293,0.0139,-2.8188,0.0067,-0.0194,-3.7872,-0.039,0.0657,1
2022 GEDİZ AMBALAJ,0.4252,0.2363,0.399,2.5941,2.0362,0.4736,0.2248,0,0.0012,0.311,-0.0329,-0.0072,0.7229,0.3565,0.0121,0.9619,0.1886,0.1578,-0.3396,0.2248,0.7233,1
2022 GİRİŞİM ELEKTRİK,1.5167,1.3606,1.2667,1.623,1.3634,0.1232,0.2021,0.1217,0.0019,0.4011,-0.1665,-0.0265,0.5038,0.2662,0.1083,0.7908,0.1269,0.0803,-5.2028,0.2021,0.6917,1
2022 GİRİŞİM HOLDİNG,1.5082,1.353,1.2597,1.623,1.3634,0.1232,0.2065,0.1217,0.0019,0.4044,-0.1642,-0.0265,0.5106,0.2709,0.1037,0.7945,0.1288,0.0823,0.0055,0.2065,0.6954,1
2022 GÖLTAŞ GÖLLER,2.1939,2.1657,1.4921,1.0251,0.8146,0.0189,0.3465,0.1161,0.0012,0.7834,0.0458,0.0112,0.4424,0.1908,0.0643,1.1145,0.0981,0.1085,-83.2824,0.3465,0.3184,1
2022 HUN YENİLENEBİLİR,1.1639,1.1265,0.1778,0.48,0.457,0.21,0.0953,0.2496,0.1598,0.9984,0.0391,0.018,0.0955,0.5074,0.2567,1.7354,0.0245,0.044,-1.7301,0.0953,0.0479,1
